stock_id,stock_received_date,facility_name,drug_id,drug_name,quantity_received,supplier,batch_number,expiry_date,delivery_delay_days
GRN-20190404-0117,2019-04-04,Allan Galpin Health Center,D032,Ferrous Sulphate 200mg Tablets,1567,EMHS Uganda,LFO6FTFN,2021-02-13,2
GRN-20190405-0118,2019-04-05,Allan Galpin Health Center,D023,Insulin Soluble 100IU/mL,531,Joint Medical Store,2VGGGFAW,2021-09-11,0
GRN-20190406-0119,2019-04-06,Allan Galpin Health Center,D033,Folic Acid 5mg Tablets,1171,Abacus Pharma,2XEBP32T,2020-06-19,6
GRN-20190407-0120,2019-04-07,Allan Galpin Health Center,D014,Ibuprofen 400mg Tablets,2338,Quality Chemicals Industries,GB28MJ6Z,2020-08-14,6
GRN-20190407-0121,2019-04-07,Allan Galpin Health Center,D027,Atenolol 50mg Tablets,697,Quality Chemicals Industries,MSKEN7HM,2020-11-07,2
GRN-20190408-0122,2019-04-08,Allan Galpin Health Center,D024,Amlodipine 5mg Tablets,1181,Abacus Pharma,H39H7JQO,2020-08-05,4
GRN-20190408-0123,2019-04-08,Allan Galpin Health Center,D026,Hydrochlorothiazide 25mg,1221,Quality Chemicals Industries,V9A7NH98,2021-05-26,3
GRN-20190409-0124,2019-04-09,Allan Galpin Health Center,D011,Doxycycline 100mg Capsules,946,Joint Medical Store,7IMCYU5G,2021-03-18,7
GRN-20190409-0125,2019-04-09,Allan Galpin Health Center,D016,Tramadol 50mg Capsules,467,EMHS Uganda,7UQNCJZT,2021-08-23,0
GRN-20190409-0126,2019-04-09,Allan Galpin Health Center,D025,Enalapril 10mg Tablets,1064,Joint Medical Store,NJRBDDYH,2020-06-11,6
GRN-20190410-0127,2019-04-10,Allan Galpin Health Center,D010,Metronidazole 400mg Tablets,1763,Joint Medical Store,T0363H7L,2020-04-16,5
GRN-20190410-0128,2019-04-10,Allan Galpin Health Center,D034,Oxytocin Injection 10IU,382,Abacus Pharma,0ZZPEGPZ,2020-06-24,0
GRN-20190411-0129,2019-04-11,Allan Galpin Health Center,D001,Artemether-Lumefantrine 20/120mg,2619,Cipla Quality Chemicals,HOCMOE01,2020-05-25,6
GRN-20190411-0130,2019-04-11,Allan Galpin Health Center,D031,Loperamide 2mg Capsules,846,Cipla Quality Chemicals,2066BI6O,2020-08-22,4
GRN-20190412-0131,2019-04-12,Allan Galpin Health Center,D007,Azithromycin 250mg Tablets,1125,EMHS Uganda,KNBF7MRR,2021-07-28,2
GRN-20190412-0132,2019-04-12,Allan Galpin Health Center,D022,Glibenclamide 5mg Tablets,1071,Abacus Pharma,QQHMAYPK,2021-07-27,1
GRN-20190413-0133,2019-04-13,Allan Galpin Health Center,D005,Sulfadoxine-Pyrimethamine,1378,Cipla Quality Chemicals,BVG170G6,2021-09-08,7
GRN-20190413-0134,2019-04-13,Allan Galpin Health Center,D008,Ceftriaxone Injection 1g,617,Quality Chemicals Industries,UWKT7106,2020-12-17,2
GRN-20190414-0135,2019-04-14,Allan Galpin Health Center,D006,Amoxicillin 500mg Capsules,2894,Cipla Quality Chemicals,N3ICZN7W,2020-09-21,0
GRN-20190414-0136,2019-04-14,Allan Galpin Health Center,D019,Aminophylline 100mg Tablets,757,Quality Chemicals Industries,SUDFCEYF,2021-04-11,2
GRN-20190414-0137,2019-04-14,Allan Galpin Health Center,D029,Zinc Sulphate 20mg Dispersible,1507,EMHS Uganda,ZODDM76K,2021-03-27,7
GRN-20190415-0138,2019-04-15,Allan Galpin Health Center,D035,Misoprostol 200mcg Tablets,292,Joint Medical Store,HF6CKQNY,2020-08-09,2
GRN-20190416-0139,2019-04-16,Allan Galpin Health Center,D004,Quinine Sulphate 300mg,807,Joint Medical Store,AT4Y8WTB,2021-10-01,6
GRN-20190416-0140,2019-04-16,Allan Galpin Health Center,D018,Beclomethasone Inhaler 250mcg,544,Cipla Quality Chemicals,GX8SB9UY,2020-09-10,7
GRN-20190417-0141,2019-04-17,Allan Galpin Health Center,D030,Omeprazole 20mg Capsules,1585,Quality Chemicals Industries,7BW293ZA,2020-11-17,6
GRN-20190419-0142,2019-04-19,Allan Galpin Health Center,D009,Ciprofloxacin 500mg Tablets,1168,National Medical Stores,Q7JRKX03,2021-02-20,2
GRN-20190420-0143,2019-04-20,Allan Galpin Health Center,D002,Artesunate Injection 60mg,1000,National Medical Stores,4DVCA9IJ,2020-10-11,3
GRN-20190420-0144,2019-04-20,Allan Galpin Health Center,D020,Prednisolone 5mg Tablets,1031,National Medical Stores,UFT31HFF,2021-03-05,7
GRN-20190421-0145,2019-04-21,Allan Galpin Health Center,D021,Metformin 850mg Tablets,1630,Joint Medical Store,UO04SMB5,2021-07-30,4
GRN-20190422-0146,2019-04-22,Allan Galpin Health Center,D028,ORS Sachets,1290,Abacus Pharma,7HRVT09P,2020-06-25,6
GRN-20190422-0147,2019-04-22,Allan Galpin Health Center,D033,Folic Acid 5mg Tablets,1751,Joint Medical Store,JOG581U8,2021-07-15,7
GRN-20190424-0148,2019-04-24,Allan Galpin Health Center,D013,Paracetamol 500mg Tablets,3967,Abacus Pharma,7W3OO152,2021-04-13,4
GRN-20190424-0149,2019-04-24,Allan Galpin Health Center,D023,Insulin Soluble 100IU/mL,532,Quality Chemicals Industries,QUJ19MDH,2020-06-02,2
GRN-20190425-0150,2019-04-25,Allan Galpin Health Center,D012,Erythromycin 500mg Tablets,713,Cipla Quality Chemicals,9U9HKGWE,2021-09-24,3
GRN-20190425-0151,2019-04-25,Allan Galpin Health Center,D025,Enalapril 10mg Tablets,1007,National Medical Stores,K002QZ5Q,2021-01-25,1
GRN-20190427-0152,2019-04-27,Allan Galpin Health Center,D003,Dihydroartemisinin-Piperaquine,881,Quality Chemicals Industries,R9ME9FWG,2021-02-28,7
GRN-20190427-0153,2019-04-27,Allan Galpin Health Center,D010,Metronidazole 400mg Tablets,2241,Quality Chemicals Industries,4NFS1G6U,2021-02-15,7
GRN-20190429-0154,2019-04-29,Allan Galpin Health Center,D001,Artemether-Lumefantrine 20/120mg,2042,Cipla Quality Chemicals,OMHPLH5I,2020-07-07,6
GRN-20190429-0155,2019-04-29,Allan Galpin Health Center,D029,Zinc Sulphate 20mg Dispersible,1220,Quality Chemicals Industries,JN2S0EF6,2021-09-07,1
GRN-20190430-0156,2019-04-30,Allan Galpin Health Center,D015,Diclofenac 50mg Tablets,1421,Cipla Quality Chemicals,RYJT352J,2021-03-25,1
GRN-20190501-0157,2019-05-01,Allan Galpin Health Center,D017,Salbutamol Inhaler 100mcg,1281,EMHS Uganda,X4KK6JOD,2020-06-02,0
GRN-20190502-0158,2019-05-02,Allan Galpin Health Center,D011,Doxycycline 100mg Capsules,719,Cipla Quality Chemicals,H6SQEG4J,2020-06-14,3
GRN-20190502-0159,2019-05-02,Allan Galpin Health Center,D026,Hydrochlorothiazide 25mg,1304,National Medical Stores,HS4Y667A,2020-10-01,1
GRN-20190503-0160,2019-05-03,Allan Galpin Health Center,D016,Tramadol 50mg Capsules,622,Abacus Pharma,HZ25AR6W,2021-01-10,3
GRN-20190503-0161,2019-05-03,Allan Galpin Health Center,D027,Atenolol 50mg Tablets,932,Abacus Pharma,7OIS0TPT,2021-01-11,0
GRN-20190505-0162,2019-05-05,Allan Galpin Health Center,D020,Prednisolone 5mg Tablets,1121,National Medical Stores,W3P8JBLN,2021-08-16,7
GRN-20190505-0163,2019-05-05,Allan Galpin Health Center,D022,Glibenclamide 5mg Tablets,922,Abacus Pharma,O2PXET38,2021-06-22,1
GRN-20190505-0164,2019-05-05,Allan Galpin Health Center,D032,Ferrous Sulphate 200mg Tablets,1777,Cipla Quality Chemicals,GQK7F8GT,2021-03-08,2
GRN-20190507-0165,2019-05-07,Allan Galpin Health Center,D014,Ibuprofen 400mg Tablets,2710,EMHS Uganda,G8XXIP9D,2020-09-21,4
GRN-20190507-0166,2019-05-07,Allan Galpin Health Center,D035,Misoprostol 200mcg Tablets,417,Abacus Pharma,1MDH037Y,2021-01-16,0
GRN-20190508-0167,2019-05-08,Allan Galpin Health Center,D024,Amlodipine 5mg Tablets,1796,EMHS Uganda,WYGAQT2C,2020-12-13,1
GRN-20190509-0168,2019-05-09,Allan Galpin Health Center,D018,Beclomethasone Inhaler 250mcg,514,National Medical Stores,O026ENYB,2021-07-12,2
GRN-20190509-0169,2019-05-09,Allan Galpin Health Center,D019,Aminophylline 100mg Tablets,782,EMHS Uganda,TX48UK9Q,2020-12-30,6
GRN-20190509-0170,2019-05-09,Allan Galpin Health Center,D030,Omeprazole 20mg Capsules,1006,Quality Chemicals Industries,9BVJ7846,2021-07-12,6
GRN-20190509-0171,2019-05-09,Allan Galpin Health Center,D034,Oxytocin Injection 10IU,331,Joint Medical Store,JJMSTM3F,2020-05-08,6
GRN-20190510-0172,2019-05-10,Allan Galpin Health Center,D006,Amoxicillin 500mg Capsules,2209,Quality Chemicals Industries,DPWG0QH0,2021-10-07,0
GRN-20190511-0173,2019-05-11,Allan Galpin Health Center,D021,Metformin 850mg Tablets,1520,National Medical Stores,S0XLANOM,2021-03-06,3
GRN-20190512-0174,2019-05-12,Allan Galpin Health Center,D003,Dihydroartemisinin-Piperaquine,980,Abacus Pharma,NM6M3VPS,2020-07-07,6
GRN-20190512-0175,2019-05-12,Allan Galpin Health Center,D005,Sulfadoxine-Pyrimethamine,1552,Abacus Pharma,P5RR3XCO,2020-08-18,7
GRN-20190512-0176,2019-05-12,Allan Galpin Health Center,D007,Azithromycin 250mg Tablets,1263,EMHS Uganda,EZ714FJX,2020-09-13,6
GRN-20190512-0177,2019-05-12,Allan Galpin Health Center,D008,Ceftriaxone Injection 1g,648,Cipla Quality Chemicals,669BY2C5,2020-09-18,4
