transaction_id,transaction_date,drug_id,drug_name,category,quantity_dispensed,unit_price,facility_id
T47,2022-01-02,D001,Artemether-Lumefantrine,Antimalarial,3,10.38,F001
T48,2022-01-02,D001,Artemether-Lumefantrine,Antimalarial,3,39.24,F001
T49,2022-01-02,D001,Artemether-Lumefantrine,Antimalarial,2,15.62,F001
T50,2022-01-02,D001,Artemether-Lumefantrine,Antimalarial,1,28.52,F001
T51,2022-01-03,D001,Artemether-Lumefantrine,Antimalarial,5,14.08,F001
T52,2022-01-03,D001,Artemether-Lumefantrine,Antimalarial,1,19.15,F001
T53,2022-01-03,D001,Artemether-Lumefantrine,Antimalarial,4,45.84,F001
T54,2022-01-03,D001,Artemether-Lumefantrine,Antimalarial,5,29.29,F001
T55,2022-01-03,D001,Artemether-Lumefantrine,Antimalarial,5,15.3,F001
T56,2022-01-03,D001,Artemether-Lumefantrine,Antimalarial,3,36.27,F001
T57,2022-01-03,D001,Artemether-Lumefantrine,Antimalarial,4,46.84,F001
T58,2022-01-03,D001,Artemether-Lumefantrine,Antimalarial,5,18.3,F001
T59,2022-01-03,D001,Artemether-Lumefantrine,Antimalarial,5,44.22,F001
T60,2022-01-03,D001,Artemether-Lumefantrine,Antimalarial,4,14.83,F001
T61,2022-01-03,D001,Artemether-Lumefantrine,Antimalarial,4,45.17,F001
T62,2022-01-03,D001,Artemether-Lumefantrine,Antimalarial,3,19.6,F001
T63,2022-01-03,D001,Artemether-Lumefantrine,Antimalarial,4,21.03,F001
T64,2022-01-03,D001,Artemether-Lumefantrine,Antimalarial,1,17.25,F001
T65,2022-01-03,D001,Artemether-Lumefantrine,Antimalarial,3,24.22,F001
T66,2022-01-03,D001,Artemether-Lumefantrine,Antimalarial,4,20.87,F001
T67,2022-01-03,D001,Artemether-Lumefantrine,Antimalarial,3,5.31,F001
T68,2022-01-03,D001,Artemether-Lumefantrine,Antimalarial,3,23.78,F001
T69,2022-01-03,D001,Artemether-Lumefantrine,Antimalarial,3,36.16,F001
T70,2022-01-04,D001,Artemether-Lumefantrine,Antimalarial,2,20.19,F001
T71,2022-01-04,D001,Artemether-Lumefantrine,Antimalarial,3,19.54,F001
T72,2022-01-04,D001,Artemether-Lumefantrine,Antimalarial,1,23.17,F001
T73,2022-01-04,D001,Artemether-Lumefantrine,Antimalarial,1,16.43,F001
T74,2022-01-04,D001,Artemether-Lumefantrine,Antimalarial,4,16.33,F001
T75,2022-01-04,D001,Artemether-Lumefantrine,Antimalarial,2,37.05,F001
T76,2022-01-04,D001,Artemether-Lumefantrine,Antimalarial,5,17.82,F001
T77,2022-01-04,D001,Artemether-Lumefantrine,Antimalarial,1,17.01,F001
T78,2022-01-04,D001,Artemether-Lumefantrine,Antimalarial,2,27.62,F001
T79,2022-01-04,D001,Artemether-Lumefantrine,Antimalarial,5,20.53,F001
T80,2022-01-04,D001,Artemether-Lumefantrine,Antimalarial,1,15.78,F001
T81,2022-01-04,D001,Artemether-Lumefantrine,Antimalarial,2,28.89,F001
T82,2022-01-04,D001,Artemether-Lumefantrine,Antimalarial,2,49.35,F001
T83,2022-01-04,D001,Artemether-Lumefantrine,Antimalarial,4,8.64,F001
T84,2022-01-04,D001,Artemether-Lumefantrine,Antimalarial,3,15.9,F001
T85,2022-01-04,D001,Artemether-Lumefantrine,Antimalarial,5,33.45,F001
T86,2022-01-04,D001,Artemether-Lumefantrine,Antimalarial,3,41.74,F001
T87,2022-01-04,D001,Artemether-Lumefantrine,Antimalarial,1,11.78,F001
T88,2022-01-04,D001,Artemether-Lumefantrine,Antimalarial,3,13.39,F001
T89,2022-01-04,D001,Artemether-Lumefantrine,Antimalarial,5,43.63,F001
T90,2022-01-04,D001,Artemether-Lumefantrine,Antimalarial,4,35.49,F001
T91,2022-01-04,D001,Artemether-Lumefantrine,Antimalarial,3,37.0,F001
T92,2022-01-04,D001,Artemether-Lumefantrine,Antimalarial,3,20.69,F001
T93,2022-01-04,D001,Artemether-Lumefantrine,Antimalarial,4,47.32,F001
T94,2022-01-04,D001,Artemether-Lumefantrine,Antimalarial,1,42.7,F001
T95,2022-01-05,D001,Artemether-Lumefantrine,Antimalarial,2,46.61,F001
T96,2022-01-05,D001,Artemether-Lumefantrine,Antimalarial,2,16.61,F001
T97,2022-01-05,D001,Artemether-Lumefantrine,Antimalarial,4,12.87,F001
T98,2022-01-05,D001,Artemether-Lumefantrine,Antimalarial,1,28.25,F001
T99,2022-01-05,D001,Artemether-Lumefantrine,Antimalarial,1,15.88,F001
T100,2022-01-05,D001,Artemether-Lumefantrine,Antimalarial,4,30.12,F001
T101,2022-01-05,D001,Artemether-Lumefantrine,Antimalarial,3,13.49,F001
T102,2022-01-05,D001,Artemether-Lumefantrine,Antimalarial,1,20.71,F001
T103,2022-01-05,D001,Artemether-Lumefantrine,Antimalarial,3,43.53,F001
T104,2022-01-05,D001,Artemether-Lumefantrine,Antimalarial,1,33.89,F001
T105,2022-01-05,D001,Artemether-Lumefantrine,Antimalarial,3,47.1,F001
T106,2022-01-05,D001,Artemether-Lumefantrine,Antimalarial,4,45.43,F001
T107,2022-01-05,D001,Artemether-Lumefantrine,Antimalarial,4,31.13,F001
T108,2022-01-05,D001,Artemether-Lumefantrine,Antimalarial,1,34.86,F001
T109,2022-01-05,D001,Artemether-Lumefantrine,Antimalarial,5,17.78,F001
T110,2022-01-05,D001,Artemether-Lumefantrine,Antimalarial,2,26.85,F001
T111,2022-01-05,D001,Artemether-Lumefantrine,Antimalarial,3,34.34,F001
T112,2022-01-05,D001,Artemether-Lumefantrine,Antimalarial,1,12.92,F001
T113,2022-01-05,D001,Artemether-Lumefantrine,Antimalarial,4,15.68,F001
T114,2022-01-05,D001,Artemether-Lumefantrine,Antimalarial,5,13.05,F001
T115,2022-01-05,D001,Artemether-Lumefantrine,Antimalarial,3,34.59,F001
T116,2022-01-05,D001,Artemether-Lumefantrine,Antimalarial,1,29.41,F001
T117,2022-01-05,D001,Artemether-Lumefantrine,Antimalarial,3,21.55,F001
T118,2022-01-05,D001,Artemether-Lumefantrine,Antimalarial,5,26.9,F001
T119,2022-01-05,D001,Artemether-Lumefantrine,Antimalarial,3,24.55,F001
T120,2022-01-05,D001,Artemether-Lumefantrine,Antimalarial,5,27.62,F001
T121,2022-01-05,D001,Artemether-Lumefantrine,Antimalarial,2,35.1,F001
T122,2022-01-06,D001,Artemether-Lumefantrine,Antimalarial,1,13.79,F001
T123,2022-01-06,D001,Artemether-Lumefantrine,Antimalarial,5,27.46,F001
T124,2022-01-06,D001,Artemether-Lumefantrine,Antimalarial,4,6.09,F001
T125,2022-01-06,D001,Artemether-Lumefantrine,Antimalarial,1,6.96,F001
T126,2022-01-06,D001,Artemether-Lumefantrine,Antimalarial,4,47.32,F001
T127,2022-01-06,D001,Artemether-Lumefantrine,Antimalarial,5,17.58,F001
T128,2022-01-06,D001,Artemether-Lumefantrine,Antimalarial,3,38.65,F001
T129,2022-01-06,D001,Artemether-Lumefantrine,Antimalarial,5,46.77,F001
T130,2022-01-06,D001,Artemether-Lumefantrine,Antimalarial,1,29.87,F001
T131,2022-01-06,D001,Artemether-Lumefantrine,Antimalarial,3,49.11,F001
T132,2022-01-06,D001,Artemether-Lumefantrine,Antimalarial,4,18.25,F001
T133,2022-01-06,D001,Artemether-Lumefantrine,Antimalarial,5,13.59,F001
T134,2022-01-06,D001,Artemether-Lumefantrine,Antimalarial,1,19.26,F001
T135,2022-01-06,D001,Artemether-Lumefantrine,Antimalarial,2,30.06,F001
T136,2022-01-06,D001,Artemether-Lumefantrine,Antimalarial,2,46.85,F001
T137,2022-01-06,D001,Artemether-Lumefantrine,Antimalarial,2,32.68,F001
T138,2022-01-06,D001,Artemether-Lumefantrine,Antimalarial,2,16.44,F001
T139,2022-01-06,D001,Artemether-Lumefantrine,Antimalarial,2,44.48,F001
T140,2022-01-06,D001,Artemether-Lumefantrine,Antimalarial,1,43.19,F001
T141,2022-01-06,D001,Artemether-Lumefantrine,Antimalarial,1,36.61,F001
T142,2022-01-06,D001,Artemether-Lumefantrine,Antimalarial,5,18.34,F001
T143,2022-01-06,D001,Artemether-Lumefantrine,Antimalarial,2,41.46,F001
T144,2022-01-06,D001,Artemether-Lumefantrine,Antimalarial,1,32.52,F001
T145,2022-01-06,D001,Artemether-Lumefantrine,Antimalarial,4,28.01,F001
T146,2022-01-06,D001,Artemether-Lumefantrine,Antimalarial,1,33.26,F001
T147,2022-01-06,D001,Artemether-Lumefantrine,Antimalarial,4,34.25,F001
T148,2022-01-06,D001,Artemether-Lumefantrine,Antimalarial,4,44.9,F001
T149,2022-01-07,D001,Artemether-Lumefantrine,Antimalarial,3,25.95,F001
T150,2022-01-07,D001,Artemether-Lumefantrine,Antimalarial,5,42.75,F001
T151,2022-01-07,D001,Artemether-Lumefantrine,Antimalarial,2,6.37,F001
T152,2022-01-07,D001,Artemether-Lumefantrine,Antimalarial,4,6.75,F001
T153,2022-01-07,D001,Artemether-Lumefantrine,Antimalarial,3,10.72,F001
T154,2022-01-07,D001,Artemether-Lumefantrine,Antimalarial,1,42.25,F001
T155,2022-01-07,D001,Artemether-Lumefantrine,Antimalarial,4,14.71,F001
T156,2022-01-07,D001,Artemether-Lumefantrine,Antimalarial,5,25.58,F001
T157,2022-01-07,D001,Artemether-Lumefantrine,Antimalarial,5,13.75,F001
T158,2022-01-07,D001,Artemether-Lumefantrine,Antimalarial,3,33.68,F001
T159,2022-01-07,D001,Artemether-Lumefantrine,Antimalarial,4,10.97,F001
T160,2022-01-07,D001,Artemether-Lumefantrine,Antimalarial,2,28.23,F001
T161,2022-01-07,D001,Artemether-Lumefantrine,Antimalarial,3,40.78,F001
T162,2022-01-07,D001,Artemether-Lumefantrine,Antimalarial,3,24.75,F001
T163,2022-01-07,D001,Artemether-Lumefantrine,Antimalarial,2,6.14,F001
T164,2022-01-07,D001,Artemether-Lumefantrine,Antimalarial,5,8.64,F001
T165,2022-01-07,D001,Artemether-Lumefantrine,Antimalarial,1,35.98,F001
T166,2022-01-07,D001,Artemether-Lumefantrine,Antimalarial,1,12.8,F001
T167,2022-01-07,D001,Artemether-Lumefantrine,Antimalarial,1,24.91,F001
T168,2022-01-07,D001,Artemether-Lumefantrine,Antimalarial,1,34.71,F001
T169,2022-01-07,D001,Artemether-Lumefantrine,Antimalarial,5,33.72,F001
T170,2022-01-07,D001,Artemether-Lumefantrine,Antimalarial,5,38.21,F001
T171,2022-01-07,D001,Artemether-Lumefantrine,Antimalarial,3,32.53,F001
T172,2022-01-08,D001,Artemether-Lumefantrine,Antimalarial,3,16.15,F001
T173,2022-01-08,D001,Artemether-Lumefantrine,Antimalarial,3,39.1,F001
T174,2022-01-08,D001,Artemether-Lumefantrine,Antimalarial,1,20.38,F001
T175,2022-01-08,D001,Artemether-Lumefantrine,Antimalarial,4,7.07,F001
T176,2022-01-08,D001,Artemether-Lumefantrine,Antimalarial,1,19.01,F001
T177,2022-01-08,D001,Artemether-Lumefantrine,Antimalarial,4,12.89,F001
T178,2022-01-08,D001,Artemether-Lumefantrine,Antimalarial,2,39.35,F001
T179,2022-01-08,D001,Artemether-Lumefantrine,Antimalarial,5,26.31,F001
T180,2022-01-08,D001,Artemether-Lumefantrine,Antimalarial,1,25.91,F001
T181,2022-01-08,D001,Artemether-Lumefantrine,Antimalarial,5,22.93,F001
T182,2022-01-08,D001,Artemether-Lumefantrine,Antimalarial,2,47.71,F001
T183,2022-01-08,D001,Artemether-Lumefantrine,Antimalarial,4,7.04,F001
T184,2022-01-08,D001,Artemether-Lumefantrine,Antimalarial,2,33.16,F001
T185,2022-01-08,D001,Artemether-Lumefantrine,Antimalarial,2,27.55,F001
T186,2022-01-08,D001,Artemether-Lumefantrine,Antimalarial,5,35.78,F001
T187,2022-01-08,D001,Artemether-Lumefantrine,Antimalarial,2,6.19,F001
T188,2022-01-08,D001,Artemether-Lumefantrine,Antimalarial,3,41.04,F001
T189,2022-01-08,D001,Artemether-Lumefantrine,Antimalarial,4,22.47,F001
T190,2022-01-08,D001,Artemether-Lumefantrine,Antimalarial,4,10.78,F001
T191,2022-01-08,D001,Artemether-Lumefantrine,Antimalarial,5,29.55,F001
T192,2022-01-08,D001,Artemether-Lumefantrine,Antimalarial,5,33.17,F001
T193,2022-01-08,D001,Artemether-Lumefantrine,Antimalarial,1,48.25,F001
T194,2022-01-09,D001,Artemether-Lumefantrine,Antimalarial,5,43.02,F001
T195,2022-01-09,D001,Artemether-Lumefantrine,Antimalarial,2,20.33,F001
T196,2022-01-09,D001,Artemether-Lumefantrine,Antimalarial,3,17.68,F001
T197,2022-01-09,D001,Artemether-Lumefantrine,Antimalarial,4,36.18,F001
T198,2022-01-09,D001,Artemether-Lumefantrine,Antimalarial,2,33.3,F001
T199,2022-01-09,D001,Artemether-Lumefantrine,Antimalarial,5,6.76,F001
T200,2022-01-09,D001,Artemether-Lumefantrine,Antimalarial,1,41.16,F001
T201,2022-01-09,D001,Artemether-Lumefantrine,Antimalarial,1,29.66,F001
T202,2022-01-09,D001,Artemether-Lumefantrine,Antimalarial,5,38.78,F001
T203,2022-01-09,D001,Artemether-Lumefantrine,Antimalarial,3,49.57,F001
T204,2022-01-09,D001,Artemether-Lumefantrine,Antimalarial,4,21.74,F001
T205,2022-01-09,D001,Artemether-Lumefantrine,Antimalarial,5,15.74,F001
T206,2022-01-09,D001,Artemether-Lumefantrine,Antimalarial,5,38.3,F001
T207,2022-01-09,D001,Artemether-Lumefantrine,Antimalarial,3,9.64,F001
T208,2022-01-09,D001,Artemether-Lumefantrine,Antimalarial,1,29.04,F001
T209,2022-01-09,D001,Artemether-Lumefantrine,Antimalarial,4,42.19,F001
T210,2022-01-09,D001,Artemether-Lumefantrine,Antimalarial,5,45.3,F001
T211,2022-01-09,D001,Artemether-Lumefantrine,Antimalarial,1,7.41,F001
T212,2022-01-09,D001,Artemether-Lumefantrine,Antimalarial,5,45.74,F001
T213,2022-01-09,D001,Artemether-Lumefantrine,Antimalarial,4,20.97,F001
T214,2022-01-10,D001,Artemether-Lumefantrine,Antimalarial,4,47.75,F001
T215,2022-01-10,D001,Artemether-Lumefantrine,Antimalarial,4,30.8,F001
T216,2022-01-10,D001,Artemether-Lumefantrine,Antimalarial,5,9.13,F001
T217,2022-01-10,D001,Artemether-Lumefantrine,Antimalarial,4,19.79,F001
T218,2022-01-10,D001,Artemether-Lumefantrine,Antimalarial,3,14.57,F001
T219,2022-01-10,D001,Artemether-Lumefantrine,Antimalarial,5,40.62,F001
T220,2022-01-10,D001,Artemether-Lumefantrine,Antimalarial,1,10.11,F001
T221,2022-01-10,D001,Artemether-Lumefantrine,Antimalarial,5,27.25,F001
T222,2022-01-10,D001,Artemether-Lumefantrine,Antimalarial,2,24.87,F001
T223,2022-01-10,D001,Artemether-Lumefantrine,Antimalarial,5,20.79,F001
T224,2022-01-10,D001,Artemether-Lumefantrine,Antimalarial,2,48.59,F001
T225,2022-01-10,D001,Artemether-Lumefantrine,Antimalarial,1,39.27,F001
T226,2022-01-10,D001,Artemether-Lumefantrine,Antimalarial,4,44.01,F001
T227,2022-01-10,D001,Artemether-Lumefantrine,Antimalarial,5,15.02,F001
T228,2022-01-10,D001,Artemether-Lumefantrine,Antimalarial,1,41.98,F001
T229,2022-01-10,D001,Artemether-Lumefantrine,Antimalarial,2,11.6,F001
T230,2022-01-10,D001,Artemether-Lumefantrine,Antimalarial,5,8.82,F001
T231,2022-01-10,D001,Artemether-Lumefantrine,Antimalarial,3,31.16,F001
T232,2022-01-10,D001,Artemether-Lumefantrine,Antimalarial,5,21.68,F001
T233,2022-01-10,D001,Artemether-Lumefantrine,Antimalarial,4,15.65,F001
T234,2022-01-10,D001,Artemether-Lumefantrine,Antimalarial,1,31.63,F001
T235,2022-01-10,D001,Artemether-Lumefantrine,Antimalarial,1,21.93,F001
T236,2022-01-11,D001,Artemether-Lumefantrine,Antimalarial,2,19.86,F001
T237,2022-01-11,D001,Artemether-Lumefantrine,Antimalarial,3,16.42,F001
T238,2022-01-11,D001,Artemether-Lumefantrine,Antimalarial,2,26.09,F001
T239,2022-01-11,D001,Artemether-Lumefantrine,Antimalarial,2,38.34,F001
T240,2022-01-11,D001,Artemether-Lumefantrine,Antimalarial,5,42.03,F001
T241,2022-01-11,D001,Artemether-Lumefantrine,Antimalarial,1,35.65,F001
T242,2022-01-11,D001,Artemether-Lumefantrine,Antimalarial,4,48.3,F001
T243,2022-01-11,D001,Artemether-Lumefantrine,Antimalarial,4,17.86,F001
T244,2022-01-11,D001,Artemether-Lumefantrine,Antimalarial,1,15.06,F001
T245,2022-01-11,D001,Artemether-Lumefantrine,Antimalarial,2,5.55,F001
T246,2022-01-11,D001,Artemether-Lumefantrine,Antimalarial,5,6.94,F001
T247,2022-01-11,D001,Artemether-Lumefantrine,Antimalarial,5,6.95,F001
T248,2022-01-11,D001,Artemether-Lumefantrine,Antimalarial,5,49.68,F001
T249,2022-01-11,D001,Artemether-Lumefantrine,Antimalarial,5,16.38,F001
T250,2022-01-11,D001,Artemether-Lumefantrine,Antimalarial,3,48.62,F001
T251,2022-01-11,D001,Artemether-Lumefantrine,Antimalarial,2,12.48,F001
T252,2022-01-11,D001,Artemether-Lumefantrine,Antimalarial,1,36.31,F001
T253,2022-01-11,D001,Artemether-Lumefantrine,Antimalarial,1,33.24,F001
T254,2022-01-11,D001,Artemether-Lumefantrine,Antimalarial,3,45.55,F001
T255,2022-01-11,D001,Artemether-Lumefantrine,Antimalarial,1,46.19,F001
T256,2022-01-11,D001,Artemether-Lumefantrine,Antimalarial,2,47.77,F001
T257,2022-01-11,D001,Artemether-Lumefantrine,Antimalarial,1,9.8,F001
T258,2022-01-12,D001,Artemether-Lumefantrine,Antimalarial,5,17.48,F001
T259,2022-01-12,D001,Artemether-Lumefantrine,Antimalarial,4,34.11,F001
T260,2022-01-12,D001,Artemether-Lumefantrine,Antimalarial,2,15.32,F001
T261,2022-01-12,D001,Artemether-Lumefantrine,Antimalarial,4,8.5,F001
T262,2022-01-12,D001,Artemether-Lumefantrine,Antimalarial,1,16.7,F001
T263,2022-01-12,D001,Artemether-Lumefantrine,Antimalarial,3,36.42,F001
T264,2022-01-12,D001,Artemether-Lumefantrine,Antimalarial,1,17.59,F001
T265,2022-01-12,D001,Artemether-Lumefantrine,Antimalarial,5,41.62,F001
T266,2022-01-12,D001,Artemether-Lumefantrine,Antimalarial,4,17.19,F001
T267,2022-01-12,D001,Artemether-Lumefantrine,Antimalarial,5,45.99,F001
T268,2022-01-12,D001,Artemether-Lumefantrine,Antimalarial,5,47.32,F001
T269,2022-01-12,D001,Artemether-Lumefantrine,Antimalarial,3,37.66,F001
T270,2022-01-12,D001,Artemether-Lumefantrine,Antimalarial,1,23.82,F001
T271,2022-01-12,D001,Artemether-Lumefantrine,Antimalarial,2,29.82,F001
T272,2022-01-12,D001,Artemether-Lumefantrine,Antimalarial,5,6.19,F001
T273,2022-01-12,D001,Artemether-Lumefantrine,Antimalarial,1,39.99,F001
T274,2022-01-12,D001,Artemether-Lumefantrine,Antimalarial,2,49.43,F001
T275,2022-01-12,D001,Artemether-Lumefantrine,Antimalarial,1,21.95,F001
T276,2022-01-12,D001,Artemether-Lumefantrine,Antimalarial,2,22.14,F001
T277,2022-01-12,D001,Artemether-Lumefantrine,Antimalarial,3,42.9,F001
T278,2022-01-12,D001,Artemether-Lumefantrine,Antimalarial,5,7.86,F001
T279,2022-01-12,D001,Artemether-Lumefantrine,Antimalarial,1,23.67,F001
T280,2022-01-12,D001,Artemether-Lumefantrine,Antimalarial,1,5.62,F001
T281,2022-01-12,D001,Artemether-Lumefantrine,Antimalarial,4,41.58,F001
T282,2022-01-12,D001,Artemether-Lumefantrine,Antimalarial,5,49.85,F001
T283,2022-01-12,D001,Artemether-Lumefantrine,Antimalarial,3,31.33,F001
T284,2022-01-13,D001,Artemether-Lumefantrine,Antimalarial,3,16.13,F001
T285,2022-01-13,D001,Artemether-Lumefantrine,Antimalarial,1,10.81,F001
T286,2022-01-13,D001,Artemether-Lumefantrine,Antimalarial,3,17.36,F001
T287,2022-01-13,D001,Artemether-Lumefantrine,Antimalarial,4,15.29,F001
T288,2022-01-13,D001,Artemether-Lumefantrine,Antimalarial,1,39.06,F001
T289,2022-01-13,D001,Artemether-Lumefantrine,Antimalarial,2,21.12,F001
T290,2022-01-13,D001,Artemether-Lumefantrine,Antimalarial,2,27.42,F001
T291,2022-01-13,D001,Artemether-Lumefantrine,Antimalarial,3,28.41,F001
T292,2022-01-13,D001,Artemether-Lumefantrine,Antimalarial,4,41.74,F001
T293,2022-01-13,D001,Artemether-Lumefantrine,Antimalarial,4,30.24,F001
T294,2022-01-13,D001,Artemether-Lumefantrine,Antimalarial,3,23.16,F001
T295,2022-01-13,D001,Artemether-Lumefantrine,Antimalarial,5,32.91,F001
T296,2022-01-13,D001,Artemether-Lumefantrine,Antimalarial,2,41.23,F001
T297,2022-01-13,D001,Artemether-Lumefantrine,Antimalarial,4,49.12,F001
T298,2022-01-13,D001,Artemether-Lumefantrine,Antimalarial,2,31.55,F001
T299,2022-01-13,D001,Artemether-Lumefantrine,Antimalarial,3,9.1,F001
T300,2022-01-13,D001,Artemether-Lumefantrine,Antimalarial,2,20.67,F001
T301,2022-01-13,D001,Artemether-Lumefantrine,Antimalarial,1,40.26,F001
T302,2022-01-13,D001,Artemether-Lumefantrine,Antimalarial,4,18.41,F001
T303,2022-01-13,D001,Artemether-Lumefantrine,Antimalarial,2,43.81,F001
T304,2022-01-13,D001,Artemether-Lumefantrine,Antimalarial,5,40.84,F001
T305,2022-01-13,D001,Artemether-Lumefantrine,Antimalarial,2,46.7,F001
T306,2022-01-13,D001,Artemether-Lumefantrine,Antimalarial,2,39.6,F001
T307,2022-01-13,D001,Artemether-Lumefantrine,Antimalarial,4,25.66,F001
T308,2022-01-13,D001,Artemether-Lumefantrine,Antimalarial,2,32.94,F001
T309,2022-01-13,D001,Artemether-Lumefantrine,Antimalarial,2,19.79,F001
T310,2022-01-13,D001,Artemether-Lumefantrine,Antimalarial,3,31.08,F001
T311,2022-01-14,D001,Artemether-Lumefantrine,Antimalarial,3,8.41,F001
T312,2022-01-14,D001,Artemether-Lumefantrine,Antimalarial,1,25.71,F001
T313,2022-01-14,D001,Artemether-Lumefantrine,Antimalarial,3,11.25,F001
T314,2022-01-14,D001,Artemether-Lumefantrine,Antimalarial,4,13.18,F001
T315,2022-01-14,D001,Artemether-Lumefantrine,Antimalarial,1,45.36,F001
T316,2022-01-14,D001,Artemether-Lumefantrine,Antimalarial,3,28.19,F001
T317,2022-01-14,D001,Artemether-Lumefantrine,Antimalarial,2,32.09,F001
T318,2022-01-14,D001,Artemether-Lumefantrine,Antimalarial,3,6.84,F001
T319,2022-01-14,D001,Artemether-Lumefantrine,Antimalarial,5,20.53,F001
T320,2022-01-14,D001,Artemether-Lumefantrine,Antimalarial,2,12.97,F001
T321,2022-01-14,D001,Artemether-Lumefantrine,Antimalarial,5,29.69,F001
T322,2022-01-14,D001,Artemether-Lumefantrine,Antimalarial,5,25.74,F001
T323,2022-01-14,D001,Artemether-Lumefantrine,Antimalarial,2,45.24,F001
T324,2022-01-14,D001,Artemether-Lumefantrine,Antimalarial,1,27.65,F001
T325,2022-01-14,D001,Artemether-Lumefantrine,Antimalarial,5,19.47,F001
T326,2022-01-14,D001,Artemether-Lumefantrine,Antimalarial,2,40.97,F001
T327,2022-01-14,D001,Artemether-Lumefantrine,Antimalarial,1,35.95,F001
T328,2022-01-14,D001,Artemether-Lumefantrine,Antimalarial,3,46.44,F001
T329,2022-01-14,D001,Artemether-Lumefantrine,Antimalarial,5,5.12,F001
T330,2022-01-14,D001,Artemether-Lumefantrine,Antimalarial,4,41.28,F001
T331,2022-01-14,D001,Artemether-Lumefantrine,Antimalarial,1,31.88,F001
