drug_id,drug_name,manufacturer_country,license_holder,distribution_region,facility_type,initial_stock_units,stock_received_date,reorder_level,average_monthly_demand,delivery_frequency_days,lead_time_days,supplier_reliability_score,region_disease_outbreaks,season,transport_accessibility_score,power_stability_index,staff_availability_index,data_record_quality,storage_temperature,storage_humidity,FEFO_policy_implemented,warehouse_capacity_utilization,storage_condition_rating,stockout_occurred,expiry_rate_percent,forecast_error_percent,financial_loss_due_to_expiry_usd,delivery_delay_days,predicted_stockout_probability,expiry_risk_category,data_source
NDA/CHR/HHP/10020,Amlodipine Tablets,India,Acme Pharma Ltd,Central,Health Centre IV,1186.0,2023-09-09,256,7137,65,22,0.391,0,Rainy,0.913,0.745,0.611,Moderate,21.7,69.2,0,0.476,Excellent,1,7.69,20.75,408.07,11,0.507,Medium,Simulated System Logs
NDA/ARV/HHP/10021,Co-trimoxazole Tablets,India,Pharma Mart Ltd,Central,Hospital,4048.0,2024-05-31,647,2104,86,16,0.691,0,Rainy,0.681,0.593,0.67,Moderate,29.7,46.8,1,0.681,Fair,0,8.95,19.88,1159.04,2,0.354,Medium,Field Survey
NDA/ANL/HHP/10022,Metformin Tablets,Malaysia,HealthLink Ltd,Central,Clinic,1063.0,2022-10-07,214,5448,80,14,0.95,0,Rainy,0.851,0.746,0.652,Moderate,26.1,82.7,1,0.602,Poor,1,11.03,19.16,63.23,0,0.255,Medium,Field Survey
NDA/ABX/HHP/10023,Ceftriaxone Injection,India,HealthLink Ltd,Eastern,Clinic,1301.0,2022-10-13,274,4785,56,20,0.906,0,Rainy,0.476,0.32,0.75,Moderate,24.8,59.2,0,0.326,Excellent,1,4.54,12.17,256.88,0,0.266,Low,Simulated System Logs
NDA/ANL/HHP/10024,Tenofovir-Lamivudine-Dolutegravir,Malaysia,Royal Pharma 2011 Ltd,Western,Pharmacy,1207.0,2024-05-17,250,168,18,23,0.7,0,Rainy,0.513,0.41,0.775,High,25.6,59.2,1,0.579,Fair,0,8.85,9.65,585.92,2,0.372,Medium,Scopus Research
NDA/CHR/HHP/10025,Omeprazole Capsules,India,Ngoma Distributors,Northern,Warehouse,8442.0,2023-12-15,2514,847,80,12,0.936,0,Dry,0.466,0.596,0.641,Moderate,21.8,59.9,1,0.981,Excellent,0,3.09,21.29,962.46,0,0.323,Low,Simulated System Logs
NDA/ARV/HHP/10026,Ibuprofen Tablets,India,HealthLink Ltd,Western,Health Centre IV,3562.0,2025-05-05,958,7425,64,19,0.704,0,Rainy,0.535,0.697,0.945,High,26.0,73.1,0,0.475,Poor,0,10.88,6.4,122.0,4,0.341,Medium,Field Survey
NDA/MAL/HHP/10027,Amlodipine Tablets,China,Royal Pharma 2011 Ltd,Central,Hospital,4702.0,2022-06-10,1121,4786,86,25,0.507,0,Dry,0.604,0.672,1.0,High,28.3,62.7,1,0.19,Fair,0,4.12,0.73,144.73,6,0.359,Low,Simulated System Logs
NDA/MAL/HHP/10028,Amoxicillin Capsules,China,MedPlus Uganda,Central,Clinic,1406.0,2024-05-14,367,5721,73,17,0.865,0,Rainy,0.513,0.835,0.362,Poor,24.6,58.8,1,0.513,Excellent,1,6.55,42.19,64.56,2,0.453,Medium,Simulated System Logs
NDA/ARV/HHP/10029,Tenofovir-Lamivudine-Dolutegravir,India,HealthLink Ltd,Western,Warehouse,8460.0,2025-03-06,1135,543,37,11,0.842,0,Rainy,0.667,0.77,0.499,Poor,23.7,44.8,1,0.856,Excellent,1,5.84,41.08,3438.11,1,0.416,Medium,Simulated System Logs
NDA/ARV/HHP/10030,Omeprazole Capsules,China,Royal Pharma 2011 Ltd,Western,Warehouse,9836.0,2024-05-12,1039,1348,54,13,0.82,0,Rainy,0.528,0.86,0.602,Moderate,15.1,50.6,1,0.589,Excellent,1,4.39,16.59,502.73,3,0.362,Low,Simulated System Logs
NDA/CHR/HHP/10031,Amoxicillin Capsules,Uganda,HealthLink Ltd,Central,Health Centre IV,2999.0,2022-04-09,497,7223,73,18,0.83,0,Rainy,0.831,0.708,0.931,High,24.1,52.0,1,0.236,Excellent,0,2.94,3.7,119.68,2,0.219,Low,Field Survey
NDA/ARV/HHP/10032,Azithromycin Tablets,India,Crown Pharmaceuticals,Western,Warehouse,9796.0,2024-06-29,1939,1389,81,14,0.761,0,Dry,0.566,0.698,0.898,High,31.4,59.2,1,0.492,Fair,0,6.63,7.54,970.35,0,0.211,Medium,Field Survey
NDA/ANL/HHP/10033,Ibuprofen Tablets,China,Ngoma Distributors,Central,Health Centre IV,2841.0,2024-05-17,603,4426,19,13,0.392,0,Rainy,0.824,0.662,0.51,Moderate,22.9,64.7,0,0.444,Excellent,0,6.22,26.7,26.08,4,0.461,Medium,Simulated System Logs
NDA/CHR/HHP/10034,Paracetamol Tablets,China,Acme Pharma Ltd,Central,Hospital,5065.0,2022-06-02,1135,6899,45,20,0.879,0,Dry,0.607,0.92,0.848,High,24.2,59.1,1,0.446,Excellent,0,5.46,10.85,49.83,1,0.248,Medium,Field Survey
NDA/ANL/HHP/10035,Co-trimoxazole Tablets,China,Royal Pharma 2011 Ltd,Western,Hospital,5249.0,2025-10-21,860,1824,23,14,0.613,0,Rainy,0.659,0.532,0.412,Poor,27.3,49.1,1,0.272,Fair,1,3.3,37.25,403.43,4,0.542,Low,Simulated System Logs
NDA/ARV/HHP/10036,Omeprazole Capsules,India,Pharma Mart Ltd,Central,Clinic,1487.0,2025-06-01,406,4108,69,15,0.631,0,Dry,0.798,0.862,0.702,Moderate,21.7,63.9,0,0.517,Excellent,0,3.72,18.64,36.37,4,0.35,Low,Scopus Research
NDA/CHR/HHP/10037,Tenofovir-Lamivudine-Dolutegravir,Kenya,Pharma Mart Ltd,Central,Clinic,1210.0,2022-11-07,245,5617,33,12,0.533,0,Rainy,0.743,0.782,0.905,High,27.4,82.7,0,0.234,Poor,0,6.82,15.1,1645.2,5,0.346,Medium,Field Survey
NDA/MAL/HHP/10038,Azithromycin Tablets,Spain,Royal Pharma 2011 Ltd,Northern,Pharmacy,2406.0,2025-12-08,713,6517,42,17,0.596,0,Dry,0.458,0.428,0.336,Poor,29.3,76.4,0,0.231,Poor,1,14.24,33.88,247.84,7,0.502,Medium,Simulated System Logs
NDA/ARV/HHP/10039,Co-trimoxazole Tablets,Spain,Ngoma Distributors,Northern,Hospital,5288.0,2025-11-27,972,8280,56,27,0.916,0,Rainy,0.348,0.315,0.521,Moderate,22.7,77.6,0,0.336,Fair,0,10.65,22.86,455.07,1,0.416,Medium,Simulated System Logs
NDA/CHR/HHP/10040,Artemether-Lumefantrine,India,Crown Pharmaceuticals,Central,Clinic,468.0,2024-12-09,64,3994,57,21,0.719,0,Dry,0.705,0.834,0.549,Moderate,20.6,55.4,1,0.568,Excellent,1,3.28,20.03,23.59,1,0.377,Low,Simulated System Logs
NDA/ANL/HHP/10041,Ibuprofen Tablets,India,Royal Pharma 2011 Ltd,Eastern,Clinic,180.0,2024-03-16,37,2910,36,16,0.87,0,Rainy,0.535,0.56,1.0,High,23.8,55.4,1,0.454,Excellent,0,8.11,5.88,2.03,0,0.233,Medium,Simulated System Logs
NDA/ANL/HHP/10042,Amlodipine Tablets,Kenya,Pharma Mart Ltd,Central,Health Centre IV,1107.0,2022-05-28,121,5705,33,27,0.529,0,Rainy,0.608,0.75,0.842,High,22.3,55.5,0,0.405,Excellent,0,4.89,11.46,27.62,9,0.42,Low,Simulated System Logs
NDA/ANL/HHP/10043,Azithromycin Tablets,India,Pharma Mart Ltd,Central,Warehouse,8401.0,2024-06-01,1265,1486,20,12,0.362,0,Dry,0.775,0.633,0.784,High,24.2,45.0,1,0.219,Excellent,1,2.78,16.6,309.92,3,0.371,Low,Field Survey
NDA/ABX/HHP/10044,Co-trimoxazole Tablets,Kenya,MedPlus Uganda,Central,Clinic,1250.0,2024-07-06,249,3707,10,25,0.41,0,Dry,0.85,0.647,1.0,,16.3,71.9,0,0.233,Fair,0,5.3,13.83,98.0,9,0.424,Medium,Simulated System Logs
NDA/ABX/HHP/10045,Amoxicillin Capsules,Spain,Crown Pharmaceuticals,Western,Clinic,1477.0,2024-10-26,306,3313,63,15,0.659,0,Rainy,0.719,0.625,0.657,Moderate,29.4,57.7,1,0.15,Fair,0,5.01,23.38,137.92,1,0.311,Medium,Simulated System Logs
NDA/MAL/HHP/10046,Metformin Tablets,Spain,HealthLink Ltd,Eastern,Warehouse,9680.0,2023-12-06,2736,1295,21,23,0.202,0,Dry,0.436,0.337,0.457,Poor,25.0,59.9,1,0.502,Excellent,1,7.23,36.54,991.21,9,0.722,Medium,Field Survey
NDA/ANL/HHP/10047,Co-trimoxazole Tablets,India,Crown Pharmaceuticals,Central,Hospital,5641.0,2022-05-22,863,3587,40,20,0.613,0,Rainy,0.751,0.99,0.498,Poor,19.7,65.7,1,0.259,Excellent,0,1.55,37.67,386.52,6,0.469,Low,Simulated System Logs
NDA/ARV/HHP/10048,Paracetamol Tablets,India,Abacus Pharma (Africa),Eastern,Clinic,1102.0,2022-01-20,278,5604,64,24,0.975,0,Dry,0.399,0.532,0.554,Moderate,32.8,63.4,1,0.455,Fair,0,7.41,21.27,25.84,1,0.346,Medium,Field Survey
NDA/ARV/HHP/10049,Artemether-Lumefantrine,Kenya,Acme Pharma Ltd,Central,Warehouse,7682.0,2024-10-11,1327,536,10,16,0.574,1,Rainy,0.829,0.822,0.542,Moderate,24.4,48.7,0,0.397,Excellent,1,4.65,26.14,1750.37,2,0.494,Low,Scopus Research
NDA/ANL/HHP/10050,Azithromycin Tablets,Netherlands,HealthLink Ltd,Eastern,Hospital,4170.0,2024-02-15,573,557,7,15,0.865,0,Dry,0.345,0.615,0.811,Moderate,20.1,57.4,1,0.082,Excellent,0,0.0,6.84,0.0,1,0.315,Low,Simulated System Logs
NDA/ANL/HHP/10051,Artemether-Lumefantrine,China,Abacus Pharma (Africa),Eastern,Hospital,2587.0,2023-05-05,612,917,14,21,0.795,0,Rainy,0.434,0.463,0.908,High,23.8,49.4,1,0.596,Excellent,1,9.21,9.29,3904.88,1,0.306,Medium,Simulated System Logs
NDA/CHR/HHP/10052,Tenofovir-Lamivudine-Dolutegravir,Kenya,Acme Pharma Ltd,Northern,Pharmacy,413.0,2024-04-05,58,5518,28,18,0.867,0,Rainy,0.336,0.331,0.797,High,23.6,61.5,0,0.704,Excellent,0,7.61,7.26,279.01,1,0.286,Medium,Simulated System Logs
NDA/MAL/HHP/10053,Paracetamol Tablets,India,Acme Pharma Ltd,Eastern,Clinic,1365.0,2022-09-17,228,1471,20,20,0.562,0,Rainy,0.303,0.608,0.638,Moderate,16.1,58.6,1,0.192,Excellent,0,1.72,16.88,7.49,3,0.513,Low,Simulated System Logs
NDA/MAL/HHP/10054,Omeprazole Capsules,China,Crown Pharmaceuticals,Western,Hospital,3937.0,2024-01-10,1058,1249,56,21,0.671,0,Dry,0.435,0.531,0.972,High,20.6,51.6,0,0.582,Excellent,0,5.96,8.89,736.19,3,0.408,Medium,Simulated System Logs
NDA/CHR/HHP/10055,Metformin Tablets,Kenya,HealthLink Ltd,Central,Pharmacy,2069.0,2024-12-11,538,5774,46,19,0.896,0,Dry,0.643,0.817,0.679,Moderate,26.1,46.8,1,0.429,Fair,1,4.25,17.97,143.95,0,0.286,Low,Scopus Research
NDA/CHR/HHP/10056,Amoxicillin Capsules,Kenya,Abacus Pharma (Africa),Central,Warehouse,8574.0,2022-04-28,2453,875,50,11,0.853,0,Rainy,0.7,0.815,0.774,High,24.3,58.4,1,0.387,Excellent,0,0.4,8.04,55.28,0,0.182,Low,Simulated System Logs
NDA/CHR/HHP/10057,Amlodipine Tablets,Uganda,HealthLink Ltd,Central,Hospital,5068.0,2024-04-11,1039,3896,38,13,0.926,0,Rainy,0.865,0.72,0.711,Moderate,27.9,57.9,0,0.469,Fair,0,0.0,26.77,0.0,0,0.331,Low,Simulated System Logs
NDA/ANL/HHP/10058,Artemether-Lumefantrine,Kenya,Crown Pharmaceuticals,Western,Clinic,506.0,2024-03-07,145,1311,63,23,0.819,0,Rainy,0.378,0.692,0.445,Poor,24.6,59.8,1,0.492,Excellent,0,4.8,38.54,75.16,2,0.504,Low,Simulated System Logs
NDA/ANL/HHP/10059,Omeprazole Capsules,Kenya,Crown Pharmaceuticals,Western,Clinic,1358.0,2024-11-30,330,85,16,12,0.648,0,Rainy,0.705,0.636,0.788,High,22.9,58.1,0,0.663,Excellent,0,8.51,14.98,383.97,2,0.36,Medium,Simulated System Logs
NDA/ANL/HHP/10060,Paracetamol Tablets,India,Pharma Mart Ltd,Western,Pharmacy,2405.0,2023-05-14,375,3095,78,19,0.683,0,Rainy,0.667,0.644,0.794,High,22.2,70.4,0,0.191,Fair,0,2.98,1.36,18.44,3,0.311,Low,Scopus Research
NDA/ARV/HHP/10061,Amoxicillin Capsules,India,Royal Pharma 2011 Ltd,Central,Health Centre IV,4284.0,2025-05-14,805,809,44,16,0.236,0,Rainy,0.628,0.799,0.885,High,22.3,54.9,0,0.399,Excellent,1,5.63,11.98,428.41,12,0.474,Medium,Field Survey
NDA/ARV/HHP/10062,Co-trimoxazole Tablets,Kenya,Abacus Pharma (Africa),Central,Clinic,1362.0,2025-02-14,227,214,39,19,0.449,0,Dry,0.721,0.705,0.76,High,21.0,56.4,1,0.64,Excellent,0,4.35,10.71,251.57,2,0.386,Low,Simulated System Logs
NDA/ARV/HHP/10063,Amoxicillin Capsules,China,Ngoma Distributors,Central,Health Centre IV,3441.0,2024-11-02,629,1256,29,20,0.451,0,Rainy,0.619,0.94,0.842,High,27.4,68.1,1,0.105,Fair,0,3.16,3.78,115.43,4,0.412,Low,Simulated System Logs
NDA/CHR/HHP/10064,Tenofovir-Lamivudine-Dolutegravir,Malaysia,Crown Pharmaceuticals,Western,Warehouse,9809.0,2023-01-16,1655,894,63,10,0.718,0,Dry,0.669,0.477,0.913,High,20.4,52.6,1,0.696,Excellent,0,6.74,5.54,1567.38,3,0.25,Medium,Field Survey
NDA/ANL/HHP/10065,Amoxicillin Capsules,India,HealthLink Ltd,Western,Warehouse,9941.0,2025-11-20,1998,560,7,27,0.813,0,Rainy,0.158,0.697,0.771,High,27.9,58.3,0,0.428,Fair,0,9.37,7.96,1188.98,1,0.34,Medium,Simulated System Logs
NDA/MAL/HHP/10066,Tenofovir-Lamivudine-Dolutegravir,Malaysia,Pharma Mart Ltd,Central,Clinic,385.0,2024-05-18,82,3538,9,12,0.871,0,Rainy,0.753,0.797,0.654,Moderate,20.0,54.3,0,0.07,Excellent,0,2.97,18.59,209.6,0,0.205,Low,Simulated System Logs
NDA/CHR/HHP/10067,Ibuprofen Tablets,Kenya,Abacus Pharma (Africa),Central,Health Centre IV,3546.0,2022-01-29,750,4575,9,16,0.536,0,Dry,0.808,0.704,0.598,Moderate,17.2,57.4,0,0.784,Excellent,0,6.68,16.77,68.64,3,0.476,Medium,Scopus Research
NDA/ANL/HHP/10068,Artemether-Lumefantrine,Spain,Pharma Mart Ltd,Western,Pharmacy,890.0,2025-06-04,162,4031,19,23,0.844,0,Dry,0.253,0.78,0.601,Moderate,21.4,66.0,0,0.497,Excellent,1,6.57,15.49,475.25,1,0.429,Medium,Field Survey
NDA/ARV/HHP/10069,Metformin Tablets,India,HealthLink Ltd,Central,Clinic,1486.0,2022-11-18,385,4369,28,13,0.539,0,Rainy,0.815,1.0,0.786,High,22.7,52.2,1,0.135,Excellent,0,1.28,8.09,29.47,1,0.261,Low,Field Survey
NDA/ABX/HHP/10070,Paracetamol Tablets,India,MedPlus Uganda,Northern,Hospital,5257.0,2025-11-29,1096,3624,25,12,0.947,0,Rainy,0.518,0.231,0.594,Moderate,23.7,70.7,1,0.2,Fair,0,5.37,28.15,109.59,1,0.243,Medium,Field Survey
NDA/ANL/HHP/10071,Tenofovir-Lamivudine-Dolutegravir,Netherlands,Acme Pharma Ltd,Central,Hospital,4421.0,2023-07-23,724,6116,67,14,0.793,0,Dry,0.67,0.705,0.376,Poor,24.9,55.5,1,0.347,Excellent,0,6.63,34.86,4108.57,5,0.381,Medium,Simulated System Logs
NDA/CHR/HHP/10072,Ceftriaxone Injection,China,HealthLink Ltd,Central,Clinic,1209.0,2023-07-09,345,4827,71,19,0.73,0,Dry,0.711,0.809,0.155,Poor,24.3,34.9,1,0.266,Excellent,0,4.98,44.14,271.6,1,0.459,Low,Scopus Research
NDA/ARV/HHP/10073,Paracetamol Tablets,China,HealthLink Ltd,Eastern,Pharmacy,2487.0,2023-05-09,653,6689,59,16,0.59,0,Rainy,0.626,0.429,0.738,Moderate,26.1,36.5,0,0.47,Fair,0,8.47,13.54,39.67,8,0.417,Medium,Field Survey
NDA/ARV/HHP/10074,Ibuprofen Tablets,Kenya,MedPlus Uganda,Northern,Health Centre IV,2712.0,2024-06-02,404,5291,18,21,0.444,0,Dry,0.202,0.576,1.0,High,24.6,83.5,0,0.485,Fair,0,7.7,11.96,75.4,8,0.479,Medium,Field Survey
NDA/ARV/HHP/10075,Amlodipine Tablets,Kenya,HealthLink Ltd,Central,Pharmacy,2736.0,2022-06-07,782,1401,46,5,0.689,0,Dry,0.756,0.651,0.6,Moderate,25.6,77.0,0,0.301,Poor,0,3.71,27.88,310.79,1,0.325,Low,Field Survey
NDA/MAL/HHP/10076,Amlodipine Tablets,India,Crown Pharmaceuticals,Eastern,Warehouse,8910.0,2024-01-04,2442,1172,51,23,0.735,0,Dry,0.254,0.718,0.869,High,30.3,82.5,0,0.53,Poor,1,9.56,8.29,2659.62,3,0.417,Medium,Scopus Research
NDA/ABX/HHP/10077,Artemether-Lumefantrine,Kenya,Ngoma Distributors,Eastern,Pharmacy,2022.0,2025-01-27,329,2241,21,19,0.703,0,Dry,0.612,0.407,0.663,Moderate,20.6,55.7,0,0.121,Excellent,0,5.73,22.17,562.61,3,0.356,Medium,Field Survey
NDA/ABX/HHP/10078,Paracetamol Tablets,India,Abacus Pharma (Africa),Western,Clinic,1454.0,2022-04-17,330,3733,77,16,0.645,0,Rainy,0.61,0.624,0.927,High,23.9,74.2,0,0.261,Fair,0,3.95,3.04,22.92,1,0.315,Low,Field Survey
NDA/ABX/HHP/10079,Co-trimoxazole Tablets,Kenya,Ngoma Distributors,Central,Clinic,142.0,2024-02-10,26,2029,58,14,0.597,0,Dry,0.742,0.773,1.0,High,31.0,52.9,0,0.247,Fair,0,6.1,5.41,42.16,5,0.286,Medium,Simulated System Logs
NDA/ANL/HHP/10080,Omeprazole Capsules,China,Acme Pharma Ltd,Eastern,Hospital,5400.0,2024-02-10,575,3762,38,17,0.766,0,Dry,0.601,0.585,0.866,High,27.9,54.6,1,0.607,Fair,1,6.39,6.27,593.43,2,0.291,Medium,Field Survey
NDA/ANL/HHP/10081,Omeprazole Capsules,China,Royal Pharma 2011 Ltd,Eastern,Health Centre IV,1155.0,2025-12-20,218,1192,29,17,0.906,0,Dry,0.781,0.547,1.0,Moderate,24.8,57.7,1,0.344,Excellent,0,6.79,14.6,260.1,0,0.272,Medium,Field Survey
NDA/MAL/HHP/10082,Tenofovir-Lamivudine-Dolutegravir,India,Ngoma Distributors,Eastern,Clinic,946.0,2022-01-01,153,192,58,15,0.638,0,Dry,0.572,0.287,0.973,Moderate,20.9,50.1,1,0.058,Excellent,0,4.42,10.66,743.53,4,0.311,Low,Scopus Research
NDA/ARV/HHP/10083,Ibuprofen Tablets,Spain,Crown Pharmaceuticals,Northern,Hospital,5507.0,2022-04-15,1476,7064,54,20,0.837,0,Rainy,0.337,0.469,0.921,High,28.4,39.5,1,0.075,Fair,0,4.23,11.59,41.82,2,0.283,Low,Field Survey
NDA/CHR/HHP/10084,Amlodipine Tablets,India,Acme Pharma Ltd,Western,Health Centre IV,1969.0,2023-03-21,266,3983,60,13,0.831,0,Rainy,0.365,0.372,0.697,Moderate,25.7,66.5,1,0.617,Fair,0,5.99,19.87,490.92,1,0.363,Medium,Simulated System Logs
NDA/ARV/HHP/10085,Amoxicillin Capsules,China,Acme Pharma Ltd,Western,Hospital,5950.0,2022-01-02,668,8370,39,30,0.669,0,Dry,0.428,0.406,0.429,Poor,25.8,62.4,0,0.609,Fair,1,5.31,42.78,281.76,13,0.62,Medium,Field Survey
NDA/ARV/HHP/10086,Amlodipine Tablets,India,Crown Pharmaceuticals,Central,Pharmacy,2190.0,2023-05-20,495,5661,38,13,0.707,0,Rainy,0.554,0.832,0.737,Moderate,23.6,63.8,1,0.636,Excellent,0,4.67,24.79,186.93,0,0.423,Low,Simulated System Logs
NDA/MAL/HHP/10087,Metformin Tablets,Kenya,Acme Pharma Ltd,Central,Pharmacy,2601.0,2025-02-20,431,7563,43,10,0.753,0,Dry,0.704,0.975,0.771,High,15.7,77.6,1,0.476,Fair,0,2.72,15.39,218.22,1,0.267,Low,Field Survey
NDA/ANL/HHP/10088,Co-trimoxazole Tablets,India,Abacus Pharma (Africa),Central,Health Centre IV,1496.0,2024-11-24,434,3110,14,15,0.569,0,Rainy,0.938,0.871,0.985,High,23.4,69.5,1,0.361,Excellent,0,1.4,5.09,63.8,5,0.293,Low,Simulated System Logs
NDA/ARV/HHP/10089,Amoxicillin Capsules,Netherlands,Acme Pharma Ltd,Northern,Health Centre IV,2902.0,2022-05-29,561,6119,20,20,0.653,0,Rainy,0.386,0.501,0.471,Poor,30.2,84.0,1,0.084,Poor,1,9.85,34.06,551.06,3,0.495,Medium,Scopus Research
