drug_id,month,monthly_demand
D004,2022-06-01,730
D004,2022-07-01,670
D004,2022-08-01,668
D004,2022-09-01,720
D004,2022-10-01,778
D004,2022-11-01,780
D004,2022-12-01,751
D004,2023-01-01,690
D004,2023-02-01,615
D004,2023-03-01,757
D004,2023-04-01,775
D004,2023-05-01,806
D004,2023-06-01,755
D004,2023-07-01,693
D004,2023-08-01,702
D004,2023-09-01,744
D004,2023-10-01,791
D004,2023-11-01,773
D004,2023-12-01,755
D004,2024-01-01,680
D004,2024-02-01,658
D004,2024-03-01,768
D004,2024-04-01,789
D004,2024-05-01,812
D004,2024-06-01,766
D004,2024-07-01,694
D004,2024-08-01,689
D004,2024-09-01,775
D004,2024-10-01,827
D004,2024-11-01,782
D004,2024-12-01,785
D005,2019-01-01,1503
D005,2019-02-01,1604
D005,2019-03-01,1813
D005,2019-04-01,1781
D005,2019-05-01,1830
D005,2019-06-01,1670
D005,2019-07-01,1552
D005,2019-08-01,1531
D005,2019-09-01,1715
D005,2019-10-01,1839
D005,2019-11-01,1821
D005,2019-12-01,1760
D005,2020-01-01,1570
D005,2020-02-01,1679
D005,2020-03-01,1886
D005,2020-04-01,1809
D005,2020-05-01,1883
D005,2020-06-01,1728
D005,2020-07-01,1598
D005,2020-08-01,1535
D005,2020-09-01,1751
D005,2020-10-01,1839
D005,2020-11-01,1807
D005,2020-12-01,1784
D005,2021-01-01,1586
D005,2021-02-01,1620
D005,2021-03-01,1912
D005,2021-04-01,1820
D005,2021-05-01,1909
D005,2021-06-01,1745
D005,2021-07-01,1617
D005,2021-08-01,1572
D005,2021-09-01,1756
D005,2021-10-01,1912
D005,2021-11-01,1867
D005,2021-12-01,1868
D005,2022-01-01,1619
D005,2022-02-01,1672
D005,2022-03-01,1897
D005,2022-04-01,1885
D005,2022-05-01,1907
D005,2022-06-01,1785
D005,2022-07-01,1637
D005,2022-08-01,1662
D005,2022-09-01,1784
D005,2022-10-01,1996
D005,2022-11-01,1963
D005,2022-12-01,1851
D005,2023-01-01,1672
D005,2023-02-01,1732
D005,2023-03-01,1998
D005,2023-04-01,1904
D005,2023-05-01,1969
D005,2023-06-01,1870
D005,2023-07-01,1654
D005,2023-08-01,1649
D005,2023-09-01,1823
D005,2023-10-01,1961
D005,2023-11-01,1906
D005,2023-12-01,1933
D005,2024-01-01,1649
D005,2024-02-01,1793
D005,2024-03-01,2058
D005,2024-04-01,1946
D005,2024-05-01,2041
D005,2024-06-01,1902
D005,2024-07-01,1697
D005,2024-08-01,1737
D005,2024-09-01,1848
D005,2024-10-01,1988
D005,2024-11-01,2002
D005,2024-12-01,1946
D006,2019-01-01,2434
D006,2019-02-01,2284
D006,2019-03-01,2370
D006,2019-04-01,2740
D006,2019-05-01,3079
D006,2019-06-01,2948
D006,2019-07-01,3197
D006,2019-08-01,3146
D006,2019-09-01,3005
D006,2019-10-01,2837
D006,2019-11-01,2419
D006,2019-12-01,2514
D006,2020-01-01,2539
D006,2020-02-01,2339
D006,2020-03-01,2522
D006,2020-04-01,2789
D006,2020-05-01,3132
D006,2020-06-01,3139
D006,2020-07-01,3170
D006,2020-08-01,3228
D006,2020-09-01,3169
D006,2020-10-01,2933
D006,2020-11-01,2546
D006,2020-12-01,2572
D006,2021-01-01,2659
D006,2021-02-01,2365
D006,2021-03-01,2639
D006,2021-04-01,2891
D006,2021-05-01,3231
D006,2021-06-01,3167
D006,2021-07-01,3347
D006,2021-08-01,3405
D006,2021-09-01,3093
D006,2021-10-01,2969
D006,2021-11-01,2632
D006,2021-12-01,2657
D006,2022-01-01,2639
D006,2022-02-01,2459
D006,2022-03-01,2755
D006,2022-04-01,2913
D006,2022-05-01,3287
D006,2022-06-01,3309
D006,2022-07-01,3399
D006,2022-08-01,3409
D006,2022-09-01,3166
D006,2022-10-01,3177
D006,2022-11-01,2650
D006,2022-12-01,2763
D006,2023-01-01,2850
D006,2023-02-01,2544
D006,2023-03-01,2808
D006,2023-04-01,3086
D006,2023-05-01,3381
D006,2023-06-01,3363
D006,2023-07-01,3508
D006,2023-08-01,3467
D006,2023-09-01,3325
D006,2023-10-01,3212
D006,2023-11-01,2722
D006,2023-12-01,2811
D006,2024-01-01,2839
D006,2024-02-01,2582
D006,2024-03-01,2824
D006,2024-04-01,3107
D006,2024-05-01,3494
D006,2024-06-01,3511
D006,2024-07-01,3706
D006,2024-08-01,3653
D006,2024-09-01,3382
D006,2024-10-01,3296
D006,2024-11-01,2790
D006,2024-12-01,2912
D007,2019-01-01,1414
D007,2019-02-01,1233
D007,2019-03-01,1398
D007,2019-04-01,1523
D007,2019-05-01,1711
D007,2019-06-01,1668
D007,2019-07-01,1732
D007,2019-08-01,1685
D007,2019-09-01,1621
D007,2019-10-01,1615
D007,2019-11-01,1405
D007,2019-12-01,1434
D007,2020-01-01,1434
D007,2020-02-01,1338
D007,2020-03-01,1420
D007,2020-04-01,1570
D007,2020-05-01,1738
D007,2020-06-01,1714
D007,2020-07-01,1718
D007,2020-08-01,1748
D007,2020-09-01,1659
D007,2020-10-01,1596
D007,2020-11-01,1386
D007,2020-12-01,1485
D007,2021-01-01,1475
D007,2021-02-01,1317
D007,2021-03-01,1469
D007,2021-04-01,1591
D007,2021-05-01,1777
D007,2021-06-01,1729
D007,2021-07-01,1826
D007,2021-08-01,1791
D007,2021-09-01,1754
D007,2021-10-01,1650
D007,2021-11-01,1425
D007,2021-12-01,1507
D007,2022-01-01,1504
D007,2022-02-01,1346
D007,2022-03-01,1513
D007,2022-04-01,1642
D007,2022-05-01,1864
D007,2022-06-01,1788
D007,2022-07-01,1897
D007,2022-08-01,1909
D007,2022-09-01,1807
D007,2022-10-01,1705
D007,2022-11-01,1482
D007,2022-12-01,1541
D007,2023-01-01,1533
D007,2023-02-01,1404
D007,2023-03-01,1577
D007,2023-04-01,1668
D007,2023-05-01,1843
D007,2023-06-01,1854
D007,2023-07-01,1972
D007,2023-08-01,1976
D007,2023-09-01,1801
D007,2023-10-01,1753
D007,2023-11-01,1540
D007,2023-12-01,1566
D007,2024-01-01,1578
D007,2024-02-01,1529
D007,2024-03-01,1627
D007,2024-04-01,1701
D007,2024-05-01,1921
D007,2024-06-01,1899
D007,2024-07-01,1930
D007,2024-08-01,2012
D007,2024-09-01,1914
D007,2024-10-01,1795
D007,2024-11-01,1615
D007,2024-12-01,1668
D008,2019-01-01,675
D008,2019-02-01,597
D008,2019-03-01,675
D008,2019-04-01,713
D008,2019-05-01,781
D008,2019-06-01,800
D008,2019-07-01,802
D008,2019-08-01,815
D008,2019-09-01,759
D008,2019-10-01,761
D008,2019-11-01,662
D008,2019-12-01,704
D008,2020-01-01,668
D008,2020-02-01,641
D008,2020-03-01,697
D008,2020-04-01,733
D008,2020-05-01,791
D008,2020-06-01,802
D008,2020-07-01,834
D008,2020-08-01,826
D008,2020-09-01,780
D008,2020-10-01,755
D008,2020-11-01,665
D008,2020-12-01,700
D008,2021-01-01,698
D008,2021-02-01,633
D008,2021-03-01,707
D008,2021-04-01,753
D008,2021-05-01,828
D008,2021-06-01,795
D008,2021-07-01,842
D008,2021-08-01,851
D008,2021-09-01,797
D008,2021-10-01,775
D008,2021-11-01,681
D008,2021-12-01,691
D008,2022-01-01,707
D008,2022-02-01,648
D008,2022-03-01,698
D008,2022-04-01,766
D008,2022-05-01,832
D008,2022-06-01,844
D008,2022-07-01,860
D008,2022-08-01,877
D008,2022-09-01,814
D008,2022-10-01,778
D008,2022-11-01,697
D008,2022-12-01,708
D008,2023-01-01,723
D008,2023-02-01,659
D008,2023-03-01,708
D008,2023-04-01,772
D008,2023-05-01,862
D008,2023-06-01,830
D008,2023-07-01,871
D008,2023-08-01,884
D008,2023-09-01,833
D008,2023-10-01,813
D008,2023-11-01,712
D008,2023-12-01,722
D008,2024-01-01,738
D008,2024-02-01,683
D008,2024-03-01,754
D008,2024-04-01,776
D008,2024-05-01,892
D008,2024-06-01,867
D008,2024-07-01,885
D008,2024-08-01,896
D008,2024-09-01,826
D008,2024-10-01,834
D008,2024-11-01,721
D008,2024-12-01,746
D009,2019-01-01,1067
D009,2019-02-01,968
D009,2019-03-01,1168
D009,2019-04-01,1207
D009,2019-05-01,1289
D009,2019-06-01,1218
D009,2019-07-01,1251
D009,2019-08-01,1245
D009,2019-09-01,1169
D009,2019-10-01,1091
D009,2019-11-01,1035
D009,2019-12-01,1116
D009,2020-01-01,1112
D009,2020-02-01,1018
D009,2020-03-01,1149
D009,2020-04-01,1264
D009,2020-05-01,1326
D009,2020-06-01,1246
D009,2020-07-01,1286
D009,2020-08-01,1286
D009,2020-09-01,1184
D009,2020-10-01,1090
D009,2020-11-01,1093
D009,2020-12-01,1121
D009,2021-01-01,1120
D009,2021-02-01,1025
D009,2021-03-01,1251
D009,2021-04-01,1270
D009,2021-05-01,1323
D009,2021-06-01,1314
D009,2021-07-01,1354
D009,2021-08-01,1318
D009,2021-09-01,1162
D009,2021-10-01,1142
D009,2021-11-01,1092
D009,2021-12-01,1144
D009,2022-01-01,1135
D009,2022-02-01,1002
D009,2022-03-01,1260
D009,2022-04-01,1264
D009,2022-05-01,1293
D009,2022-06-01,1301
D009,2022-07-01,1332
D009,2022-08-01,1324
D009,2022-09-01,1216
D009,2022-10-01,1148
D009,2022-11-01,1104
D009,2022-12-01,1150
D009,2023-01-01,1145
D009,2023-02-01,1019
D009,2023-03-01,1252
D009,2023-04-01,1307
D009,2023-05-01,1366
D009,2023-06-01,1331
D009,2023-07-01,1364
D009,2023-08-01,1340
D009,2023-09-01,1248
D009,2023-10-01,1186
D009,2023-11-01,1130
D009,2023-12-01,1177
D009,2024-01-01,1198
D009,2024-02-01,1106
D009,2024-03-01,1313
D009,2024-04-01,1333
D009,2024-05-01,1427
D009,2024-06-01,1388
D009,2024-07-01,1438
D009,2024-08-01,1360
D009,2024-09-01,1261
D009,2024-10-01,1203
D009,2024-11-01,1160
D009,2024-12-01,1211
D010,2019-01-01,1719
D010,2019-02-01,1491
D010,2019-03-01,1745
D010,2019-04-01,1775
D010,2019-05-01,1993
D010,2019-06-01,1989
D010,2019-07-01,2019
D010,2019-08-01,2008
D010,2019-09-01,1944
D010,2019-10-01,1854
D010,2019-11-01,1664
D010,2019-12-01,1699
D010,2020-01-01,1721
D010,2020-02-01,1619
D010,2020-03-01,1661
D010,2020-04-01,1847
D010,2020-05-01,2034
D010,2020-06-01,2078
D010,2020-07-01,2056
D010,2020-08-01,2084
D010,2020-09-01,1927
D010,2020-10-01,1917
D010,2020-11-01,1654
D010,2020-12-01,1729
D010,2021-01-01,1696
D010,2021-02-01,1541
D010,2021-03-01,1776
D010,2021-04-01,1860
D010,2021-05-01,2040
D010,2021-06-01,1998
D010,2021-07-01,2138
D010,2021-08-01,2065
D010,2021-09-01,1952
D010,2021-10-01,1919
D010,2021-11-01,1713
D010,2021-12-01,1727
D010,2022-01-01,1753
D010,2022-02-01,1591
D010,2022-03-01,1721
D010,2022-04-01,1881
D010,2022-05-01,2030
D010,2022-06-01,2024
D010,2022-07-01,2129
D010,2022-08-01,2085
D010,2022-09-01,2001
D010,2022-10-01,1897
D010,2022-11-01,1722
D010,2022-12-01,1747
D010,2023-01-01,1736
D010,2023-02-01,1557
D010,2023-03-01,1729
D010,2023-04-01,1896
D010,2023-05-01,2083
D010,2023-06-01,2030
D010,2023-07-01,2098
D010,2023-08-01,2119
D010,2023-09-01,2005
D010,2023-10-01,1942
D010,2023-11-01,1745
D010,2023-12-01,1784
D010,2024-01-01,1774
D010,2024-02-01,1642
D010,2024-03-01,1764
D010,2024-04-01,1911
D010,2024-05-01,2116
D010,2024-06-01,2066
D010,2024-07-01,2158
D010,2024-08-01,2176
D010,2024-09-01,2060
D010,2024-10-01,1928
D010,2024-11-01,1749
D010,2024-12-01,1790
D011,2019-01-01,857
D011,2019-02-01,796
D011,2019-03-01,956
D011,2019-04-01,983
D011,2019-05-01,1033
D011,2019-06-01,1042
D011,2019-07-01,1073
D011,2019-08-01,1049
D011,2019-09-01,924
D011,2019-10-01,845
D011,2019-11-01,863
D011,2019-12-01,863
D011,2020-01-01,889
D011,2020-02-01,822
D011,2020-03-01,1016
D011,2020-04-01,1027
D011,2020-05-01,1062
D011,2020-06-01,1054
D011,2020-07-01,1077
D011,2020-08-01,1055
D011,2020-09-01,949
D011,2020-10-01,912
D011,2020-11-01,852
D011,2020-12-01,905
D011,2021-01-01,898
D011,2021-02-01,807
D011,2021-03-01,1009
D011,2021-04-01,1069
D011,2021-05-01,1121
D011,2021-06-01,1042
D011,2021-07-01,1124
D011,2021-08-01,1094
D011,2021-09-01,986
D011,2021-10-01,923
D011,2021-11-01,905
D011,2021-12-01,954
D011,2022-01-01,930
D011,2022-02-01,847
D011,2022-03-01,1022
D011,2022-04-01,1096
D011,2022-05-01,1156
D011,2022-06-01,1154
D011,2022-07-01,1183
D011,2022-08-01,1108
D011,2022-09-01,992
D011,2022-10-01,948
D011,2022-11-01,932
D011,2022-12-01,977
D011,2023-01-01,949
D011,2023-02-01,872
D011,2023-03-01,1087
D011,2023-04-01,1119
D011,2023-05-01,1182
D011,2023-06-01,1148
D011,2023-07-01,1170
D011,2023-08-01,1161
D011,2023-09-01,1058
D011,2023-10-01,983
D011,2023-11-01,957
D011,2023-12-01,963
D011,2024-01-01,1014
D011,2024-02-01,912
D011,2024-03-01,1097
D011,2024-04-01,1122
D011,2024-05-01,1206
D011,2024-06-01,1191
D011,2024-07-01,1233
D011,2024-08-01,1196
D011,2024-09-01,1065
D011,2024-10-01,1000
D011,2024-11-01,979
D011,2024-12-01,1001
D012,2019-01-01,598
D012,2019-02-01,545
D012,2019-03-01,603
D012,2019-04-01,653
D012,2019-05-01,675
D012,2019-06-01,673
D012,2019-07-01,706
D012,2019-08-01,691
D012,2019-09-01,639
D012,2019-10-01,604
D012,2019-11-01,595
D012,2019-12-01,615
D012,2020-01-01,611
D012,2020-02-01,567
D012,2020-03-01,629
D012,2020-04-01,639
D012,2020-05-01,704
D012,2020-06-01,685
D012,2020-07-01,699
D012,2020-08-01,691
D012,2020-09-01,657
D012,2020-10-01,617
D012,2020-11-01,589
D012,2020-12-01,611
D012,2021-01-01,608
D012,2021-02-01,563
D012,2021-03-01,611
D012,2021-04-01,658
D012,2021-05-01,712
D012,2021-06-01,673
D012,2021-07-01,743
D012,2021-08-01,722
D012,2021-09-01,654
D012,2021-10-01,618
D012,2021-11-01,602
D012,2021-12-01,609
D012,2022-01-01,629
D012,2022-02-01,560
D012,2022-03-01,646
D012,2022-04-01,652
D012,2022-05-01,714
D012,2022-06-01,711
D012,2022-07-01,734
D012,2022-08-01,705
D012,2022-09-01,635
D012,2022-10-01,638
D012,2022-11-01,599
D012,2022-12-01,625
D012,2023-01-01,619
D012,2023-02-01,558
D012,2023-03-01,623
D012,2023-04-01,657
D012,2023-05-01,699
D012,2023-06-01,708
D012,2023-07-01,719
D012,2023-08-01,710
D012,2023-09-01,649
D012,2023-10-01,630
D012,2023-11-01,623
D012,2023-12-01,637
D012,2024-01-01,660
D012,2024-02-01,609
D012,2024-03-01,660
D012,2024-04-01,649
D012,2024-05-01,733
D012,2024-06-01,725
D012,2024-07-01,729
D012,2024-08-01,720
D012,2024-09-01,671
D012,2024-10-01,652
D012,2024-11-01,596
D012,2024-12-01,639
D013,2019-01-01,3447
D013,2019-02-01,3073
D013,2019-03-01,3387
D013,2019-04-01,3604
D013,2019-05-01,3910
D013,2019-06-01,3794
D013,2019-07-01,3962
D013,2019-08-01,3942
D013,2019-09-01,3759
D013,2019-10-01,3728
D013,2019-11-01,3340
D013,2019-12-01,3538
D013,2020-01-01,3498
D013,2020-02-01,3279
D013,2020-03-01,3460
D013,2020-04-01,3624
D013,2020-05-01,3975
D013,2020-06-01,3942
D013,2020-07-01,4024
D013,2020-08-01,4049
D013,2020-09-01,3825
D013,2020-10-01,3881
D013,2020-11-01,3401
D013,2020-12-01,3514
D013,2021-01-01,3536
D013,2021-02-01,3124
D013,2021-03-01,3490
D013,2021-04-01,3715
D013,2021-05-01,3918
D013,2021-06-01,4089
D013,2021-07-01,4099
D013,2021-08-01,4005
D013,2021-09-01,3854
D013,2021-10-01,3874
D013,2021-11-01,3495
D013,2021-12-01,3538
D013,2022-01-01,3643
D013,2022-02-01,3179
D013,2022-03-01,3620
D013,2022-04-01,3731
D013,2022-05-01,4106
D013,2022-06-01,4097
D013,2022-07-01,4194
D013,2022-08-01,4133
D013,2022-09-01,3960
D013,2022-10-01,3967
D013,2022-11-01,3499
D013,2022-12-01,3690
D013,2023-01-01,3657
D013,2023-02-01,3312
D013,2023-03-01,3821
D013,2023-04-01,3884
D013,2023-05-01,4142
D013,2023-06-01,4149
D013,2023-07-01,4264
D013,2023-08-01,4271
D013,2023-09-01,4001
D013,2023-10-01,4137
D013,2023-11-01,3584
D013,2023-12-01,3715
D013,2024-01-01,3748
D013,2024-02-01,3551
D013,2024-03-01,3726
D013,2024-04-01,3829
D013,2024-05-01,4222
D013,2024-06-01,4268
D013,2024-07-01,4253
D013,2024-08-01,4239
D013,2024-09-01,4144
D013,2024-10-01,3890
D013,2024-11-01,3636
D013,2024-12-01,3726
D014,2019-01-01,2169
D014,2019-02-01,1917
D014,2019-03-01,2165
D014,2019-04-01,2199
D014,2019-05-01,2462
D014,2019-06-01,2280
D014,2019-07-01,2459
D014,2019-08-01,2464
D014,2019-09-01,2357
D014,2019-10-01,2358
D014,2019-11-01,2118
D014,2019-12-01,2158
D014,2020-01-01,2211
D014,2020-02-01,2118
D014,2020-03-01,2142
D014,2020-04-01,2234
D014,2020-05-01,2356
D014,2020-06-01,2406
D014,2020-07-01,2474
D014,2020-08-01,2571
D014,2020-09-01,2390
D014,2020-10-01,2364
D014,2020-11-01,2150
D014,2020-12-01,2212
D014,2021-01-01,2235
D014,2021-02-01,1982
D014,2021-03-01,2283
D014,2021-04-01,2258
D014,2021-05-01,2463
D014,2021-06-01,2456
D014,2021-07-01,2580
D014,2021-08-01,2549
D014,2021-09-01,2416
D014,2021-10-01,2427
D014,2021-11-01,2208
D014,2021-12-01,2226
D014,2022-01-01,2297
D014,2022-02-01,2105
D014,2022-03-01,2298
D014,2022-04-01,2372
D014,2022-05-01,2568
D014,2022-06-01,2476
D014,2022-07-01,2555
D014,2022-08-01,2633
D014,2022-09-01,2506
D014,2022-10-01,2429
D014,2022-11-01,2254
D014,2022-12-01,2284
D014,2023-01-01,2357
D014,2023-02-01,2103
D014,2023-03-01,2366
D014,2023-04-01,2388
D014,2023-05-01,2591
D014,2023-06-01,2572
D014,2023-07-01,2597
D014,2023-08-01,2649
D014,2023-09-01,2514
D014,2023-10-01,2483
D014,2023-11-01,2218
D014,2023-12-01,2389
D014,2024-01-01,2429
D014,2024-02-01,2250
D014,2024-03-01,2340
D014,2024-04-01,2446
D014,2024-05-01,2725
D014,2024-06-01,2535
D014,2024-07-01,2663
D014,2024-08-01,2690
D014,2024-09-01,2554
D014,2024-10-01,2532
D014,2024-11-01,2320
D014,2024-12-01,2354
D015,2019-01-01,1201
D015,2019-02-01,1102
D015,2019-03-01,1231
D015,2019-04-01,1273
D015,2019-05-01,1368
D015,2019-06-01,1375
D015,2019-07-01,1414
D015,2019-08-01,1420
D015,2019-09-01,1282
D015,2019-10-01,1236
D015,2019-11-01,1186
D015,2019-12-01,1253
D015,2020-01-01,1249
D015,2020-02-01,1145
D015,2020-03-01,1244
D015,2020-04-01,1300
D015,2020-05-01,1380
D015,2020-06-01,1373
D015,2020-07-01,1424
D015,2020-08-01,1368
D015,2020-09-01,1266
D015,2020-10-01,1277
D015,2020-11-01,1215
D015,2020-12-01,1244
D015,2021-01-01,1242
D015,2021-02-01,1140
D015,2021-03-01,1258
D015,2021-04-01,1285
D015,2021-05-01,1468
D015,2021-06-01,1351
D015,2021-07-01,1450
D015,2021-08-01,1409
D015,2021-09-01,1301
D015,2021-10-01,1287
D015,2021-11-01,1224
D015,2021-12-01,1276
D015,2022-01-01,1286
D015,2022-02-01,1151
D015,2022-03-01,1286
D015,2022-04-01,1344
D015,2022-05-01,1475
D015,2022-06-01,1404
D015,2022-07-01,1436
D015,2022-08-01,1384
D015,2022-09-01,1291
D015,2022-10-01,1267
D015,2022-11-01,1246
D015,2022-12-01,1296
D015,2023-01-01,1268
D015,2023-02-01,1171
D015,2023-03-01,1296
D015,2023-04-01,1318
D015,2023-05-01,1424
D015,2023-06-01,1422
D015,2023-07-01,1458
D015,2023-08-01,1452
D015,2023-09-01,1335
D015,2023-10-01,1308
D015,2023-11-01,1243
D015,2023-12-01,1296
D015,2024-01-01,1274
D015,2024-02-01,1206
D015,2024-03-01,1279
D015,2024-04-01,1361
D015,2024-05-01,1504
D015,2024-06-01,1427
D015,2024-07-01,1477
D015,2024-08-01,1449
D015,2024-09-01,1357
D015,2024-10-01,1305
D015,2024-11-01,1263
D015,2024-12-01,1317
D016,2019-01-01,462
D016,2019-02-01,409
D016,2019-03-01,479
D016,2019-04-01,418
D016,2019-05-01,485
D016,2019-06-01,482
D016,2019-07-01,532
D016,2019-08-01,503
D016,2019-09-01,474
D016,2019-10-01,482
D016,2019-11-01,442
D016,2019-12-01,466
D016,2020-01-01,471
D016,2020-02-01,431
D016,2020-03-01,452
